Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,images,description,datum,location,werke,feature,article
Galerie Cas Concos,galerie-cas-concos,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a308a60e4cba93bd11,false,false,Thu Jan 22 2026 19:21:07 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:07 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:07 GMT+0000 (Coordinated Universal Time),,,Tue Dec 31 2002 23:00:00 GMT+0000 (Coordinated Universal Time),"Mallorca, ES",,false,
Gallery Arts Walk,gallery-arts-walk,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a0131b27adfdb37e7d,false,false,Thu Jan 22 2026 19:21:04 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:04 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:04 GMT+0000 (Coordinated Universal Time),,,Mon Dec 31 2012 23:00:00 GMT+0000 (Coordinated Universal Time),"Los Angeles, USA",,false,
Katalogförderpreis des bayerischen Staatsministeriums,katalogforderpreis-des-bayerischen-staatsministeriums,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a4f89ebbc367338d00,false,false,Thu Jan 22 2026 19:21:08 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:08 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:08 GMT+0000 (Coordinated Universal Time),,,Mon Dec 31 2007 23:00:00 GMT+0000 (Coordinated Universal Time),"Bayern, DE",,false,
KunstSalon 28. Februar und 1. März,kunstsalon-28-februar-und-1-marz,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,69922c54ebce0330131e89ef,false,false,Sun Feb 15 2026 20:28:04 GMT+0000 (Coordinated Universal Time),Sun Feb 15 2026 20:32:54 GMT+0000 (Coordinated Universal Time),Sun Feb 15 2026 20:34:03 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69922d692a0ead73745dd176_kunstsalon.png,,Sat Feb 28 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,false,"<p>Wir laden Sie herzlich zu einem Rundgang durch unsere Ateliers ein!</p><p>10 Ateliers sind für Sie geöffnet. Jedes davon wird zu einem offenen Treffpunkt, an dem wir Sie in gemütlicher Atmosphäre zu Gesprächen einladen: über die Werke, die Arbeitsweisen der Künstlerinnen und Künstler, Kunst, Kultur und Politik... Begleitet von kleinen kulinarischen Überraschungen und Getränken.</p><p>Samstag 28. Februar 16 bis 22 Uhr</p><p>Sonntag 1. März 14 bis 18 Uhr</p>"
Kunstverein Coburg “Streckenlauf”,kunstverein-coburg-streckenlauf,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a308a60e4cba93bcb9,false,false,Thu Jan 22 2026 19:21:07 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:07 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:07 GMT+0000 (Coordinated Universal Time),,,Mon Dec 31 2007 23:00:00 GMT+0000 (Coordinated Universal Time),"Coburg, DE",,false,
Lacy Street Lofts,lacy-street-lofts,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a12026d250b7b65009,false,false,Thu Jan 22 2026 19:21:05 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:05 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:05 GMT+0000 (Coordinated Universal Time),,,Sat Dec 31 2011 23:00:00 GMT+0000 (Coordinated Universal Time),"Los Angeles, USA",,false,
Lucca Art Fair,lucca-art-fair,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972788c3a480cf9f9c904f7,false,false,Thu Jan 22 2026 19:20:44 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:44 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:44 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788c3a480cf9f9c904dc_IMG_6816-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788c3a480cf9f9c904e0_IMG_4637-scaled.jpeg,,Sun Dec 31 2023 23:00:00 GMT+0000 (Coordinated Universal Time),"Lucca, IT",,false,
Lucca Art Fair,lucca-art-fair-87cdb,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697280467fb02fcd9a9dfea1,false,true,Thu Jan 22 2026 19:53:42 GMT+0000 (Coordinated Universal Time),Wed Jan 28 2026 15:24:16 GMT+0000 (Coordinated Universal Time),Wed Jan 28 2026 12:49:53 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697a272c9f9de8af2acfd8b6_IMG_4637.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697a27193f595b33eab37dc1_IMG_6816.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697a293383bab2770952152b_IMG_2272.jpg,,Sun Dec 31 2023 23:00:00 GMT+0000 (Coordinated Universal Time),"Lucca, IT",,false,
Miami Scope,miami-scope,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,69727899d6cc1301eddcd5cd,false,false,Thu Jan 22 2026 19:20:57 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:57 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727899d6cc1301eddcd5a8_IMG_2179.jpeg,,Mon Dec 31 2018 23:00:00 GMT+0000 (Coordinated Universal Time),"Miami, USA",,false,
Orangerie im Englischen Garten,orangerie-im-englischen-garten,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972788a436c1d1ce3f84752,false,false,Thu Jan 22 2026 19:20:42 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:42 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:42 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727889436c1d1ce3f8472a_2a2cd8bd-c2b0-4aa3-894b-b4a5355547e9-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727889436c1d1ce3f8473f_9e0c177b-6f87-4148-bcc0-5a98b7293dff-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727889436c1d1ce3f84733_fa4d9ca9-8804-40b2-a657-a09740a3cee9-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727889436c1d1ce3f84724_image002-2-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727889436c1d1ce3f8473c_orangerie-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/69727889436c1d1ce3f8472f_VV170724_047_low-scaled.jpeg,,Sun Dec 31 2023 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
Orangerie im Englischen Garten,orangerie-im-englischen-garten-abb9e,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697280456132e6718501f460,false,false,Thu Jan 22 2026 19:53:41 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:53:41 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:53:41 GMT+0000 (Coordinated Universal Time),,,Sun Dec 31 2023 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
Palazzo Fiuggi,palazzo-fiuggi,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278962026d250b7b647c0,false,false,Thu Jan 22 2026 19:20:54 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:54 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:54 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278952026d250b7b64728_IMG_1558-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278952026d250b7b64739_IMG_1553-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278952026d250b7b6472c_IMG_1539-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278962026d250b7b647b1_IMG_0933-scaled.jpeg,,Tue Dec 31 2019 23:00:00 GMT+0000 (Coordinated Universal Time),"Fiuggi, IT",,false,
Pinakothek der Moderne,pinakothek-der-moderne,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972789347a8a63ed399ef00,false,false,Thu Jan 22 2026 19:20:51 GMT+0000 (Coordinated Universal Time),Wed Jan 28 2026 12:47:53 GMT+0000 (Coordinated Universal Time),Wed Jan 28 2026 12:49:53 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789347a8a63ed399eea6_IMG_6999-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789347a8a63ed399eef5_IMG_7278-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789347a8a63ed399ee95_IMG_7008-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789347a8a63ed399ee9c_IMG_6943-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789347a8a63ed399eeaa_IMG_7247-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789347a8a63ed399eeaf_IMG_7085-scaled.jpeg,Feminin – Die soziale und politische Kraft des Weiblichen in Kunst und Gesellschaft Ein Projekt von DENKRAUM DEUTSCHLAND,Thu Dec 31 2020 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,"<p>Under the theme “feminine”, Denkraum Deutschland 2021 highlighted the social and political potential of the female in art and society. Works by Joseph Beuys, Gabi Blum, Valeska von Brase, Tomma Galonska, Franziska Greber, Hira Khan, Sudi Khonssari, the artist collective Die Villa, Judith Milberg, Naila Mahmood, Beate Passow, Doro Seror, Mica Wintermayr and others were shown. In addition to the exhibition, there were performances, guided tours, lectures, workshops and discussions, e.g. B. with the Bavarian Minister of Social Affairs Carolina Trautner or the exhibition organizer Miro Crämer.</p>"
Red Dot Art Fair,red-dot-art-fair,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278901fbee0092e416f46,false,false,Thu Jan 22 2026 19:20:48 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:48 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:48 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278901fbee0092e416f28_IMG_1001-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278901fbee0092e416f2d_IMG_2326-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278901fbee0092e416f39_IMG_0985-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278901fbee0092e416f23_IMG_2303-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/697278901fbee0092e416f13_IMG_2273-scaled.jpeg,,Fri Dec 31 2021 23:00:00 GMT+0000 (Coordinated Universal Time),"Miami, USA",,false,
